12 Reveille,
Trigon,11
Element @ University Park,1
Carter Creek Shopping Center,2
Broadmoor - East,5
Blinn College,5
Broadmoor - West,3
Willow Oaks,10
Trigon,
,
,
1225 Nights & Weekends,
Trigon,6
University Square - East,1
Ashburn - East,1
April Bloom - East,1
Laurel Ridge - West,1
Element @ University Park,1
Carter Creek Shopping Center,2
Broadmoor - East,5
Blinn College,5
Broadmoor - West,3
Willow Oaks,2
Laurel Ridge,1
April Bloom - West,1
Ashburn - West,1
University Square - West,8
Trigon,
,
,
15 Old Army,
MSC,2
Fish Pond - IB,5
Spruce St. - OB,1
Aggie Station - OB,1
Village on the Creek,1
Z Islander,1
Reveille Ranch,1
Wellborn @ Tee,1
Villa Maria @ Green St.,2
Howdy Street,1
Academic Village,1
Aggie Station - IB,1
Spruce St. - IB,1
College Main Parking Garage - IB,3
Fish Pond - OB,3
MSC,
,
,
22 Excel,
Trigon,7
The Marc,1
The Rail - East,1
Cripple Creek - East,2
Castlerock,1
Briarwood,1
Cripple Creek - West,1
The Rail - West,1
The Cambridge,8
Trigon,
,
,
25 Centerpole,
Trigon,6
University Square - East,1
Ashburn - East,1
April Bloom - East,1
Laurel Ridge - West,1
Laurel Ridge,1
April Bloom - West,1
Ashburn - West,1
University Square - West,8
Trigon,
,
,
26 Rudder,
Trigon,5
Scandia - South,1
Lexington - South,1
Lemon Tree,1
Brentwood,1
Arbor Square,2
Southwest Parkway @ Cornell,1
Southwest Parkway @ Dartmouth,1
Eastmark/Windsor Pointe,1
Trails @ Wolf Penn Creek,2
Colgate Circle,2
Redstone,1
Alpine Circle,1
Lexington - North,1
Scandia - North,6
Trigon,
,
,
27 Ring Dance,
Trigon,5
Scandia - South,1
Lexington - South,2
Enclave,2
Arbors @ Wolf Pen Creek - OB,1
River Oaks Townhomes - OB,1
Lofts @ Wolf Pen Creek - OB,1
Huntington Apt,3
Wolf Pen Creek,1
Lofts @ Wolf Pen Creek - IB,1
River Oaks Townhomes - IB,1
Arbors @ Wolf Pen Creek - IB,2
HEB,1
Village St.,1
Scandia - North,6
Trigon,
,
,
31 E-Walk,
Trigon,8
The Woodlands #1,1
Willowick,1
Yellow House,1
University Park,3
Renaissance Park,1
Madison Point,1
The Woodlands #2,8
Trigon,
,
,
34 Fish Camp,
Trigon,12
Welsh @ First Baptist,1
Welsh @ Navarro - OB,1
Welsh @ Deacon,8
The Barracks,4
Fraternity Row,2
Welsh @ Navarro - IB,1
Welsh @ Balcones,11
Trigon,
,
,
35 Hullabaloo,
MSC,4
Kleberg - OB,1
Physical Education - OB,2
West - Park West - OB,1
Woodsman,1
Gridiron,1
The Retreat,3
University Trails,1
Fox Run,1
The London,1
West - Park West - IB,1
Physical Education - IB,1
Kleberg - IB,2
