02 Transit - IB,02 Transit - OB,0
06 Transit - IB,06 Transit - OB,0
Aggie Station - IB,Aggie Station - OB,0
Alpine Circle,Lemon Tree,3
April Bloom - East,April Bloom - West,0
Arbors @ Wolf Pen Creek - IB,Arbors @ Wolf Pen Creek - OB,0
Asbury Water Tower,Fish Pond - IB,3
Asbury Water Tower,Fish Pond - OB,3
Ashburn - East,Ashburn - West,0
Beutel,Fish Pond - IB,2
Beutel,Fish Pond - OB,2
Broadmoor - West,Broadmoor - East,0
Bush School - IB,Bush School - OB,0
Callaway Villas,Treehouse,0
Carter Creek Shopping Center,Willow Oaks,0
Centeq 1,Centeq 2,1
College Main Parking Garage - IB,College Main Parking Garage - OB,0
Commons,Trigon,5
Cripple Creek - East,Cripple Creek - West,0
Enclave,HEB,0
Equine Center - IB,Equine Center - OB,0
Facilities Services - IB,Facilities Services - OB,0
Fish Pond - IB,Fish Pond - OB,0
Fish Pond - IB,MSC,5
Fish Pond - OB,MSC,5
Holleman South - IB,Holleman South - OB,0
Kleberg - IB,Kleberg - OB,0
Kleberg - IB,Wehner,6
Kleberg - IB,Wehner N,6
Kleberg - IB,Wehner S,6
Kleberg - OB,Wehner,6
Kleberg - OB,Wehner N,6
Kleberg - OB,Wehner S,6
Lexington - North,Lexington - South,0
Lofts @ Wolf Pen Creek - IB,Lofts @ Wolf Pen Creek - OB,0
Lot 100G,Reed Arena - OB,7
Lot 100G,Reed Arena - IB,7
Madison Point,Willowick,0
MSC,Beutel,1
MSC,Trigon,5
Physical Education - IB,Physical Education - OB,0
Reed Arena - IB,Reed Arena - OB,1
Renaissance Park,Yellow House,1
River Oaks Townhomes - IB,River Oaks Townhomes - OB,0
Ross and Bizzell - IB,Ross and Bizzell - OB,0
Ross and Ireland - IB,Ross and Ireland - OB,0
Scandia - North,Scandia - South,0
School of Public Health - IB,School of Public Health - OB,0
Spruce St. - IB,Spruce St. - OB,0
The Cambridge,The Marc,0
The Woodlands #1,The Woodlands #2,0
TTI - IB,TTI - OB,0
University Square - East,University Square - West,0
Vet School - IB,Vet School - OB,0
Wehner,Wehner N,2
Wehner,Wehner S,2
Wehner N,Wehner,2
Wehner N,Wehner S,2
Wehner S,Wehner,2
Wehner S,Wehner N,2
North West - Park West - OB,South East - Park West,3
North West - Park West - OB,South East - Park West 2,3
North West - Park West - OB,West - Park West - IB,2
North West - Park West - OB,West - Park West - OB,2
South East - Park West,South East - Park West 2,1
South East - Park West,West - Park West - IB,2
South East - Park West,West - Park West - OB,2
South East - Park West 2,West - Park West - IB,2
South East - Park West 2,West - Park West - OB,2
West - Park West - IB,West - Park West - OB,0
Wisenbaker - East,Ross and Bizzell - OB,1
Wisenbaker - East,Ross and Bizzell - IB,1
Rec Center - IB,Rec Center - OB,0
